x,y,c,size,dt,summary
1993,4,1,8,14-Dec-93,"Nathan Dunlap, 19, a recently fired Chuck E. Cheese's employee, went on a rampage through his former workplace and was arrested the following day. He now awaits execution on death row."
1993,1,0,2,14-Dec-93,"Nathan Dunlap, 19, a recently fired Chuck E. Cheese's employee, went on a rampage through his former workplace and was arrested the following day. He now awaits execution on death row."
1993,6,1,12,07-Dec-93,"Colin Ferguson, 35, opened fire on an eastbound Long Island Rail Road train as it approached a Garden City station. He was later arrested."
1993,19,0,38,07-Dec-93,"Colin Ferguson, 35, opened fire on an eastbound Long Island Rail Road train as it approached a Garden City station. He was later arrested."
1993,4,1,8,06-Aug-93,"Army Sgt. Kenneth Junior French, 22, opened fire inside Luigi's Italian restaurant while ranting about gays in the military before he was shot and arrested by police."
1993,8,0,16,06-Aug-93,"Army Sgt. Kenneth Junior French, 22, opened fire inside Luigi's Italian restaurant while ranting about gays in the military before he was shot and arrested by police."
1993,9,1,18,01-Jul-93,"Failed businessman Gian Luigi Ferri, 55, opened fire throughout an office building before he committed suicide inside as police pursued him."
1993,6,0,12,01-Jul-93,"Failed businessman Gian Luigi Ferri, 55, opened fire throughout an office building before he committed suicide inside as police pursued him."
1992,5,1,10,15-Oct-92,"John T. Miller, 50, killed four child-support workers in a county office building before turning the gun on himself. Miller was upset about a court order garnishing his paycheck to cover overdue child-support payments."
1992,0,0,0,15-Oct-92,"John T. Miller, 50, killed four child-support workers in a county office building before turning the gun on himself. Miller was upset about a court order garnishing his paycheck to cover overdue child-support payments."
1992,4,1,8,01-May-92,"Former Lindhurst High School student Eric Houston, 20, angry about various personal failings, killed three students and a teacher at the school before surrendering to police after an eight-hour standoff. He was later sentenced to death."
1992,10,0,20,01-May-92,"Former Lindhurst High School student Eric Houston, 20, angry about various personal failings, killed three students and a teacher at the school before surrendering to police after an eight-hour standoff. He was later sentenced to death."
1991,5,1,10,14-Nov-91,"Laid-off postal worker Thomas McIlvane, 31, opened fire at his former workplace before committing suicide."
1991,5,0,10,14-Nov-91,"Laid-off postal worker Thomas McIlvane, 31, opened fire at his former workplace before committing suicide."
1991,6,1,12,01-Nov-91,"Former graduate student Gang Lu, 28, went on a rampage on campus and then committed suicide at the scene."
1991,1,0,2,01-Nov-91,"Former graduate student Gang Lu, 28, went on a rampage on campus and then committed suicide at the scene."
1991,24,1,48,16-Oct-91,"George Hennard, 35, drove his pickup truck into a Luby's cafeteria and opened fire before committing suicide."
1991,20,0,40,16-Oct-91,"George Hennard, 35, drove his pickup truck into a Luby's cafeteria and opened fire before committing suicide."
1990,10,1,20,18-Jun-90,"James Edward Pough, 42, opened fire at a General Motors Acceptance Corporation office before committing suicide. (The day prior, Pough killed a pimp and prostitute and injured two others. Those victims are not included in the mass murder count.)"
1990,4,0,8,18-Jun-90,"James Edward Pough, 42, opened fire at a General Motors Acceptance Corporation office before committing suicide. (The day prior, Pough killed a pimp and prostitute and injured two others. Those victims are not included in the mass murder count.)"
